Country Name;Country Code;gdp
Aruba;ABW;48750,31601
Afghanistan;AFG;
Angola;AGO;6976,006469
Albania;ALB;18603,41179
Andorra;AND;
United Arab Emirates;ARE;88488,98461
Argentina;ARG;26530,32312
Armenia;ARM;18965,72757
American Samoa;ASM;
Antigua and Barbuda;ATG;26365,46898
Australia;AUS;63216,14922
Austria;AUT;67874,90488
Azerbaijan;AZE;17828,60839
Burundi;BDI;836,4645675
Belgium;BEL;65478,44695
Benin;BEN;4057,451755
Burkina Faso;BFA;2549,934982
Bangladesh;BGD;7397,545737
Bulgaria;BGR;33845,57635
Bahrain;BHR;61248,18013
Bahamas, The;BHS;40942,77672
Bosnia and Herzegovina;BIH;19990,81349
Belarus;BLR;22550,64044
Belize;BLZ;11189,86408
Bermuda;BMU;95868,78026
Bolivia;BOL;9737,676068
Brazil;BRA;17827,64105
Barbados;BRB;18210,1343
Brunei Darussalam;BRN;69297,93271
Bhutan;BTN;
Botswana;BWA;18329,84926
Central African Republic;CAF;973,2462704
Canada;CAN;58347,66961
Central Europe and the Baltics;CEB;42893,03274
Switzerland;CHE;84649,9399
Channel Islands;CHI;
Chile;CHL;30208,80553
China;CHN;21482,56218
Cote d'Ivoire;CIV;6540,462355
Cameroon;CMR;4398,048919
Congo, Dem. Rep.;COD;1337,834149
Congo, Rep.;COG;4335,055001
Colombia;COL;20268,68239
Comoros;COM;3833,738563
Cabo Verde;CPV;8715,995684
Costa Rica;CRI;25237,1182
Caribbean small states;CSS;21260,86832
Cuba;CUB;
Curacao;CUW;27302,21764
Cayman Islands;CYM;84279,61998
Cyprus;CYP;51322,69922
Czechia;CZE;49194,95779
Germany;DEU;63521,8994
Djibouti;DJI;5893,238371
Dominica;DMA;13540,22461
Denmark;DNK;74896,99622
Dominican Republic;DOM;22841,0898
Algeria;DZA;13226,78957
East Asia & Pacific (excluding high income);EAP;18830,13012
Early-demographic dividend;EAR;11598,5025
East Asia & Pacific;EAS;22422,40945
Europe & Central Asia (excluding high income);ECA;28269,98673
