country;code;region;cpi;dem;opec;fos;fragility;gdp;gini;lifeexp;oilexp;pop;rel;sigi;urb
Aruba;ABW;NA;NA;NA;NA;NA;NA;41273.6;NA;74.626;0;106445;Christian;NA;44.052
Afghanistan;AFG;AP;20;0.32;0;Dictatorship;106.6;1516.3;NA;61.982;0;41128771;Muslim;NA;26.616
Angola;AGO;SSA;33;3.96;0;Hybrid Regime;86.9;5906.1;52;61.643;1782000;35588987;Christian;25.9;68.081
Albania;ALB;ECA;37;6.41;0;Democracy;56.8;15492.1;29.4;76.463;17290;2777689;Muslim;8.9;63.799
Andorra;AND;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;79824;Christian;NA;87.811
United Arab Emirates;ARE;MENA;68;2.9;1;Dictatorship;37;74917.7;NA;78.71;2552000;9441129;Muslim;NA;87.543
Argentina;ARG;AME;37;6.85;0;Democracy;46.4;22461.4;42.3;75.39;36630;46234830;Christian;17.7;92.347
Armenia;ARM;ECA;47;5.63;0;Hybrid Regime;67.5;16057;25.1;72.043;0;2780469;Christian;23.7;63.573
American Samoa;ASM;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;44273;Christian;NA;87.196
Antigua and Barbuda;ATG;NA;NA;NA;NA;NA;53.8;22321.9;NA;78.497;0;93763;Christian;NA;24.346
Australia;AUS;AP;75;8.71;0;Democracy;22;51090.3;34.3;83.3;192500;26005540;Christian;15.4;86.488
Austria;AUT;WE/EU;71;8.2;0;Democracy;24.4;55867.2;29.8;81.23902439024391;0;9041851;Christian;9.8;59.256
Azerbaijan;AZE;ECA;23;2.87;0;Dictatorship;72.7;15094.3;26.6;69.366;718800;10141756;Muslim;29.8;57.17
Burundi;BDI;SSA;20;2.13;0;Dictatorship;94.2;708.2;33.3;61.663;0;12889576;Christian;40.7;14.417
Belgium;BEL;WE/EU;73;7.64;0;Democracy;31.4;53287.2;26;81.89024390243902;0;11685814;Christian;7.4;98.153
Benin;BEN;SSA;43;4.28;0;Hybrid Regime;73.3;3435.2;34.3;59.821;0;13352864;Christian;34.4;49.534
Burkina Faso;BFA;SSA;41;3.08;0;Hybrid Regime;94;2158.9;37.4;59.27;0;22673762;Muslim;25.4;31.877
Bangladesh;BGD;AP;24;5.99;0;Hybrid Regime;85.2;6263;31.8;72.381;0;171186372;Muslim;49.3;39.711
Bulgaria;BGR;WE/EU;45;6.53;0;Democracy;51.8;26961.3;40.5;71.51463414634146;0;6465097;Christian;18.9;76.363
Bahrain;BHR;MENA;42;2.52;0;Dictatorship;65.1;51854.7;NA;78.76;0;1472233;Muslim;NA;89.743
Bahamas, The;BHS;AME;64;NA;NA;NA;49.2;34663.5;NA;71.598;0;409984;Christian;NA;83.492
Bosnia and Herzegovina;BIH;ECA;35;5;0;Hybrid Regime;72.3;16737.2;33;75.3;0;3233526;Christian;27.1;49.841
Belarus;BLR;ECA;37;1.99;0;Dictatorship;69.9;19092.1;24.4;72.37068292682928;31730;9228071;Christian;NA;80.326
Belize;BLZ;NA;NA;NA;0;NA;59.8;9473.7;53.3;70.47;1220;405272;Christian;18.2;46.396
Bermuda;BMU;NA;NA;NA;NA;NA;NA;81165.7;NA;79.28;0;63532;Christian;NA;100
Bolivia;BOL;AME;29;4.51;0;Hybrid Regime;70.7;8244.2;43.6;63.63;1274;12224110;Christian;20.6;70.83
Brazil;BRA;AME;36;6.78;0;Democracy;74.5;15093.5;48.9;72.75;736600;215313498;Christian;21.6;87.555
Barbados;BRB;AME;69;NA;NA;NA;45.4;15417.3;NA;77.571;674;281635;Christian;NA;31.324
Brunei Darussalam;BRN;NA;NA;NA;NA;NA;54.7;58669.9;NA;74.642;127400;449002;Muslim;NA;78.854
Bhutan;BTN;AP;68;5.54;0;Hybrid Regime;66.4;11595.7;28.5;71.815;0;782455;Buddhist;32.9;43.686
Botswana;BWA;SSA;59;7.73;0;Democracy;55.3;15518.7;53.3;61.141;0;2630296;Christian;31.5;72.224
Central African Republic;CAF;SSA;24;1.35;0;Dictatorship;105.7;824;43;53.895;0;5579144;Christian;48.7;43.12
Canada;CAN;AME;76;8.88;0;Democracy;18.9;49296.4;31.7;82.59660975609758;2818000;38929902;Christian;17.5;81.752
Switzerland;CHE;WE/EU;82;9.14;0;Democracy;17.8;72278.2;33.7;83.85121951219513;0;8775760;Christian;9.9;74.092
Channel Islands;CHI;NA;NA;NA;NA;NA;NA;NA;NA;81.232;NA;174079;NA;NA;31.077
